ticker,estrategia,date,price,action,signal_compra,signal_venta,had_position,entry_price,stop_loss,take_profit,trailing,reason,regime,mode,RSI,MACD,MACD_SIGNAL,ADX,PLUS_DI,MINUS_DI,ATR,STOCH_K,STOCH_D,REL_VOL,EMA20,EMA50,EMA200
KO,trend_follower,2025-11-19,69.6819,hold,False,False,False,,,,,,range,,60.4156,0.8048,0.7385,24.7128,25.8228,15.2197,0.9632,79.0386,78.9073,0.8212,68.6559,67.6844,66.6158
KO,trend_follower,2025-11-20,69.7799,hold,False,False,False,,,,,,range,,60.9941,0.7951,0.7498,24.4628,24.1768,15.7149,0.9553,83.2151,80.5622,1.0148,68.763,67.7666,66.6473
KO,trend_follower,2025-11-21,71.485,entry,True,False,False,71.48495483398438,54.15012679297927,77.1529288002387,68.4078958866946,,uptrend,,69.3799,0.9144,0.7827,25.6529,32.5793,13.5915,1.0257,86.9768,83.0769,1.6861,69.0222,67.9124,66.6954
KO,trend_follower,2025-11-24,71.1322,hold,True,False,True,71.48495483398438,54.15012679297927,77.1529288002387,68.4078958866946,,uptrend,,66.2084,0.9693,0.82,26.7581,29.1707,12.1695,1.0637,89.3283,86.5068,2.3404,69.2232,68.0387,66.7396
KO,trend_follower,2025-11-25,71.1518,hold,True,False,True,71.48495483398438,54.15012679297927,77.1529288002387,68.4078958866946,,uptrend,,66.3006,1.0028,0.8566,27.7843,27.6242,11.5244,1.043,91.0183,89.1078,1.0117,69.4068,68.1608,66.7835
KO,trend_follower,2025-11-26,71.4164,hold,False,False,True,71.48495483398438,54.15012679297927,77.1529288002387,68.4078958866946,,uptrend,,67.5859,1.0388,0.893,28.8578,27.3946,10.9694,1.0175,89.8026,90.0497,0.7,69.5982,68.2885,66.8296
KO,trend_follower,2025-11-28,71.6515,hold,False,False,True,71.48495483398438,54.15012679297927,77.1529288002387,68.4078958866946,,uptrend,,68.7276,1.0739,0.9292,29.9622,27.4751,10.6004,0.9777,92.6303,91.1504,0.4503,69.7938,68.4203,66.8776
KO,trend_follower,2025-12-01,71.0003,hold,False,False,True,71.48495483398438,54.15012679297927,77.1529288002387,68.71832176442625,,uptrend,,62.194,1.0372,0.9508,30.3517,25.5325,12.1777,0.977,85.0002,89.1443,0.8792,69.9087,68.5215,66.9186
KO,trend_follower,2025-12-02,69.7372,exit,False,True,True,71.48495483398438,54.15012679297927,77.1529288002387,68.71832176442625,MACD bajo señal y precio bajo EMA20,uptrend,,51.8911,0.8958,0.9398,28.4297,22.8357,21.3149,1.0143,61.3706,79.667,1.1988,69.8923,68.5692,66.9466
KO,trend_follower,2025-12-03,69.8753,hold,False,False,False,,,,,,uptrend,,52.8118,0.7859,0.909,26.6451,21.561,20.1251,0.9976,37.6224,61.3311,1.0127,69.8907,68.6204,66.9758
